training time (min:sec),HR,State
- 3:41,0.0,
- 3:40,,
- 3:39,,
- 3:38,,
- 3:37,,
- 3:36,,
- 3:35,,
- 3:34,,
- 3:33,,
- 3:32,,
- 3:31,,
- 3:30,,
- 3:29,,
- 3:28,,
- 3:27,,
- 3:26,,
- 3:25,,
- 3:24,,
- 3:23,,
- 3:22,,
- 3:21,,
- 3:20,,
- 3:19,,
- 3:18,,
- 3:17,,
- 3:16,,
- 3:15,,
- 3:14,,
- 3:13,,
- 3:12,,
- 3:11,,
- 3:10,,
- 3:09,,
- 3:08,,
- 3:07,,
- 3:06,,
- 3:05,,
- 3:04,,
- 3:03,,
- 3:02,,
- 3:01,,
- 3:00,,
- 2:59,,
- 2:58,,
- 2:57,,
- 2:56,,
- 2:55,,
- 2:54,,
- 2:53,,
- 2:52,,
- 2:51,,
- 2:50,,
- 2:49,,
- 2:48,,
- 2:47,,
- 2:46,,
- 2:45,,
- 2:44,,
- 2:43,,
- 2:42,,
- 2:41,,
- 2:40,,
- 2:39,,
- 2:38,,
- 2:37,,
- 2:36,,
- 2:35,,
- 2:34,,
- 2:33,,
- 2:32,,
- 2:31,,
- 2:30,,
- 2:29,,
- 2:28,,
- 2:27,,
- 2:26,,
- 2:25,,
- 2:24,,
- 2:23,,
- 2:22,,
- 2:21,,
- 2:20,,
- 2:19,,
- 2:18,,
- 2:17,,
- 2:16,,
- 2:15,,
- 2:14,,
- 2:13,,
- 2:12,,
- 2:11,,
- 2:10,,
- 2:09,,
- 2:08,,
- 2:07,,
- 2:06,,
- 2:05,,
- 2:04,,
- 2:03,,
- 2:02,,
- 2:01,,
- 2:00,,
- 1:59,,
- 1:58,,
- 1:57,,
- 1:56,,
- 1:55,106.0,
- 1:54,106.0,
- 1:53,105.0,
- 1:52,105.0,
- 1:51,105.0,
- 1:50,104.0,
- 1:49,110.0,
- 1:48,110.0,
- 1:47,110.0,
- 1:46,110.0,
- 1:45,110.0,
- 1:44,56.0,
- 1:43,56.0,
- 1:42,56.0,
- 1:41,56.0,
- 1:40,56.0,
- 1:39,56.0,
- 1:38,32.0,
- 1:37,32.0,
- 1:36,32.0,
- 1:35,32.0,
- 1:34,44.0,
- 1:33,108.0,
- 1:32,108.0,
- 1:31,108.0,
- 1:30,108.0,
- 1:29,108.0,
- 1:28,107.0,
- 1:27,107.0,
- 1:26,107.0,
- 1:25,107.0,
- 1:24,107.0,
- 1:23,107.0,
- 1:22,108.0,
- 1:21,108.0,
- 1:20,108.0,
- 1:19,108.0,
- 1:18,108.0,
- 1:17,108.0,
- 1:16,108.0,
- 1:15,108.0,
- 1:14,108.0,
- 1:13,,
- 1:12,,
- 1:11,,
- 1:10,,
- 1:09,,
- 1:08,,
- 1:07,108.0,
- 1:06,108.0,
- 1:05,108.0,
- 1:04,108.0,
- 1:03,108.0,
- 1:02,108.0,
- 1:01,108.0,
- 1:00,108.0,
- 0:59,,
- 0:58,110.0,
- 0:57,109.0,
- 0:56,109.0,
- 0:55,109.0,
- 0:54,109.0,
- 0:53,109.0,
- 0:52,87.0,
- 0:51,87.0,
- 0:50,87.0,
- 0:49,86.0,
- 0:48,86.0,
- 0:47,108.0,
- 0:46,107.0,
- 0:45,107.0,
- 0:44,107.0,
- 0:43,108.0,
- 0:42,108.0,
- 0:41,108.0,
- 0:40,109.0,
- 0:39,109.0,
- 0:38,108.0,
- 0:37,106.0,
- 0:36,106.0,
- 0:35,104.0,
- 0:34,104.0,
- 0:33,105.0,
- 0:32,105.0,
- 0:31,107.0,
- 0:30,108.0,
- 0:29,110.0,
- 0:28,110.0,
- 0:27,110.0,
- 0:26,108.0,
- 0:25,106.0,
- 0:24,103.0,
- 0:23,102.0,
- 0:22,101.0,
- 0:21,101.0,
- 0:20,103.0,
- 0:19,105.0,
- 0:18,107.0,
- 0:17,106.0,
- 0:16,107.0,
